,playerName,diff,PPS,expectedPPS
20,DAngelo Russell,0.026907230066874677,0.9668246445497629,0.9937318746166376
226,Timofey Mozgov,0.026776256234919193,0.953781512605042,0.9805577688399612
97,Josh Jackson,0.02434792821934617,0.9488330341113106,0.9731809623306568
44,Treveon Graham,0.02404579507286342,0.9224652087475148,0.9465110038203782
121,Wes Iwundu,0.023456347077529194,0.8741721854304636,0.8976285325079928
117,Semi Ojeleye,0.022076669169584173,0.9386503067484664,0.9607269759180506
137,Rudy Gay,0.021593266356700003,0.9961759082217974,1.0177691745784974
162,Derrick Rose,0.021571734750394755,1.0356083086053411,1.057180043355736
304,Shabazz Muhammad,0.021345525387409525,0.9859484777517564,1.007294003139166
201,Jodie Meeks,0.020458416490847786,0.9589603283173734,0.9794187448082212
125,Damyean Dotson,0.019934102168050027,0.9593220338983052,0.9792561360663552
100,Malik Monk,0.0194703237849706,0.9057971014492754,0.925267425234246
147,Mike Conley,0.017768938556363967,1.0,1.017768938556364
283,Aron Baynes,0.017183583551758863,0.9801543550165379,0.9973379385682968
126,Mike James,0.01712087977104959,0.9591304347826088,0.9762513145536584
50,Salah Mejri,0.01654390406116324,0.9732142857142856,0.9897581897754488
71,Denzel Valentine,0.016422039866654137,0.9240310077519379,0.940453047618592
306,Steven Adams,0.014738841307493478,0.9876160990712074,1.0023549403787009
112,Bam Adebayo,0.014374817330943368,0.9785202863961814,0.9928951037271248
85,Yogi Ferrell,0.013297550718026407,0.9869831546707504,1.0002807053887768
197,DeMarre Carroll,0.013296476270542645,0.9927360774818402,1.0060325537523829
23,Justise Winslow,0.012693770731230014,1.0,1.01269377073123
242,Kenneth Faried,0.012321422713690966,0.9784791965566716,0.9908006192703626
0,Andrew Bogut,0.012290485101036808,0.9423076923076924,0.9545981774087292
51,Malcolm Delaney,0.012249700369105998,0.9773095623987034,0.9895592627678094
45,Larry Nance Jr.,0.012245402369159164,0.9500831946755408,0.9623285970447
62,Demetrius Jackson,0.010451105339904454,0.9067796610169492,0.9172307663568536
114,Jawun Evans,0.010444900556903836,0.9799498746867168,0.9903947752436206
301,Reggie Bullock,0.010433057431027182,0.9873417721518988,0.997774829582926
215,Paul George,0.010018513022643338,0.9953302201467644,1.0053487331694078
3,Raymond Felton,0.008690258827193542,0.9589041095890408,0.9675943684162344
120,Dwayne Bacon,0.008673853519851393,0.9363867684478372,0.9450606219676886
179,Mario Chalmers,0.008606517181662277,1.0099403578528827,1.018546875034545
337,Kyle Anderson,0.007581401167464641,1.0009191176470589,1.0085005188145235
256,Dion Waiters,0.0075477078951711185,1.017114914425428,1.024662622320599
178,George Hill,0.0075166366789135575,0.9539906103286384,0.961507247007552
134,Jason Terry,0.006975426162274312,1.0,1.0069754261622743
355,Tim Frazier,0.006858465523146173,0.9975874547647768,1.004445920287923
135,Manu Ginobili,0.0063611120188189485,1.0265822784810126,1.0329433904998315
124,Dillon Brooks,0.006150423942311578,1.0074565037282521,1.0136069276705637
160,Anthony Tolliver,0.005972211731724797,0.986232790988736,0.9922050027204607
216,Ed Davis,0.005853277688532388,0.9808917197452228,0.9867449974337552
104,Lauri Markkanen,0.005741215492711338,0.9554597701149424,0.9612009856076538
260,Harrison Barnes,0.005098448544352263,0.991494532199271,0.9965929807436232
291,Cody Zeller,0.004954302712359193,0.9206798866855525,0.9256341893979116
84,Timothe Luwawu-Cabarrot,0.004558730920510734,0.98875,0.9933087309205108
128,Daniel Theis,0.0030477675379123603,0.9562841530054644,0.9593319205433768
163,Russell Westbrook,0.0029186909450595877,1.0018450184501846,1.0047637093952442
261,Austin Rivers,0.0025573377392691388,1.0419630156472262,1.0445203533864953
66,Dejounte Murray,0.002269790204137201,0.9837775202780996,0.9860473104822368
144,J.J. Barea,0.0019534961636562542,1.0095785440613028,1.011532040224959
77,Kay Felder,0.0018239827075059445,0.902439024390244,0.90426300709775
150,Brandan Wright,0.0017421683192848647,1.0383631713554988,1.0401053396747837
180,DeAndre Jordan,0.0014008571430617067,1.043313069908815,1.0447139270518766
49,Cristiano Felicio,0.0013547537942604215,0.911439114391144,0.9127938681854044
158,Marc Gasol,0.001192024686011095,1.0026666666666666,1.0038586913526777
17,Andrew Harrison,0.0011364726809014458,0.9653379549393414,0.9664744276202428
367,Carmelo Anthony,0.0010924263894286357,0.9966032608695652,0.9976956872589938
61,Brandon Ingram,0.0007911529440398635,0.9700063816209316,0.9707975345649714
155,Jared Dudley,0.000592509311269529,1.0180722891566265,1.018664798467896
185,Blake Griffin,0.00029759981094579224,1.046979865771812,1.0472774655827577
