loc,xCoordinate,yCoordinate
"Restricted Area_Center(C)",-16,19
"Above the Break 3_Left Side Center(LC)",-204,156
"Above the Break 3_Left Side Center(LC)",-219,127
"Restricted Area_Center(C)",-16,19
"Restricted Area_Center(C)",-10,36
"Restricted Area_Center(C)",-16,13
"In The Paint (Non-RA)_Center(C)",-1,99
"In The Paint (Non-RA)_Center(C)",39,13
"In The Paint (Non-RA)_Center(C)",47,99
"Mid-Range_Right Side Center(RC)",113,150
"In The Paint (Non-RA)_Center(C)",-1,70
"Restricted Area_Center(C)",-23,26
"Restricted Area_Center(C)",11,19
"In The Paint (Non-RA)_Center(C)",18,36
"Above the Break 3_Left Side Center(LC)",-162,207
"Above the Break 3_Left Side Center(LC)",-197,163
"Restricted Area_Center(C)",3,19
"Restricted Area_Center(C)",-1,26
"Restricted Area_Center(C)",3,19
"Restricted Area_Center(C)",32,13
"Above the Break 3_Right Side Center(RC)",163,184
"Above the Break 3_Right Side Center(RC)",127,224
"Above the Break 3_Right Side Center(RC)",148,200
"In The Paint (Non-RA)_Center(C)",-52,13
Mid-Range_Center(C),3,207
"In The Paint (Non-RA)_Center(C)",-46,13
"Restricted Area_Center(C)",-1,0
"Mid-Range_Left Side Center(LC)",-153,137
"Above the Break 3_Right Side Center(RC)",163,200
"Mid-Range_Left Side(L)",-162,63
"Mid-Range_Left Side Center(LC)",-138,133
"Above the Break 3_Right Side Center(RC)",167,207
"Mid-Range_Left Side(L)",-86,19
"Restricted Area_Center(C)",0,0
"Above the Break 3_Center(C)",32,285
"In The Paint (Non-RA)_Center(C)",47,15
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",77,15
"Mid-Range_Right Side(R)",104,70
"Mid-Range_Left Side(L)",-101,19
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Left Side(L)",-73,85
"Mid-Range_Right Side(R)",144,-2
"Mid-Range_Right Side(R)",159,23
