loc,xCoordinate,yCoordinate
"Mid-Range_Left Side(L)",-162,40
"Mid-Range_Right Side(R)",159,-19
"In The Paint (Non-RA)_Center(C)",7,47
Mid-Range_Center(C),1,144
"Mid-Range_Right Side(R)",180,-13
"In The Paint (Non-RA)_Center(C)",51,-2
"In The Paint (Non-RA)_Center(C)",1,78
"Mid-Range_Left Side(L)",-92,116
"Mid-Range_Left Side(L)",-155,-8
"Restricted Area_Center(C)",7,7
"In The Paint (Non-RA)_Right Side(R)",64,78
Mid-Range_Center(C),-42,144
"Mid-Range_Left Side(L)",-90,72
"Mid-Range_Left Side(L)",-189,-2
"In The Paint (Non-RA)_Center(C)",16,122
"In The Paint (Non-RA)_Right Side(R)",70,89
"In The Paint (Non-RA)_Center(C)",-12,47
"Mid-Range_Right Side Center(RC)",129,177
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-183,0
"In The Paint (Non-RA)_Right Side(R)",70,116
"Mid-Range_Right Side(R)",142,93
Mid-Range_Center(C),-4,192
"Right Corner 3_Right Side(R)",228,13
"In The Paint (Non-RA)_Center(C)",58,34
"Mid-Range_Left Side(L)",-162,116
"Mid-Range_Left Side Center(LC)",-162,144
"Mid-Range_Right Side Center(RC)",150,154
"In The Paint (Non-RA)_Center(C)",1,112
"In The Paint (Non-RA)_Center(C)",-48,93
"Mid-Range_Left Side Center(LC)",-138,127
"In The Paint (Non-RA)_Center(C)",70,13
"Mid-Range_Left Side Center(LC)",-105,181
"Mid-Range_Left Side(L)",-176,78
"Mid-Range_Right Side(R)",85,13
"Mid-Range_Right Side Center(RC)",127,179
"Mid-Range_Right Side(R)",199,76
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-23,47
"In The Paint (Non-RA)_Center(C)",18,53
"Mid-Range_Right Side(R)",157,99
"Mid-Range_Right Side(R)",205,47
"Mid-Range_Left Side(L)",-88,-2
"Mid-Range_Right Side(R)",178,26
Mid-Range_Center(C),3,224
"Mid-Range_Left Side Center(LC)",-132,173
"Above the Break 3_Left Side Center(LC)",-117,224
"In The Paint (Non-RA)_Center(C)",-23,70
"Mid-Range_Left Side(L)",-162,13
"Mid-Range_Left Side(L)",-132,93
"Mid-Range_Left Side(L)",-132,26
"Above the Break 3_Left Side Center(LC)",-189,173
Mid-Range_Center(C),47,213
"Above the Break 3_Right Side Center(RC)",113,224
"Above the Break 3_Center(C)",70,236
"In The Paint (Non-RA)_Center(C)",-52,99
"Mid-Range_Right Side(R)",178,42
"Restricted Area_Center(C)",-31,19
"Right Corner 3_Right Side(R)",228,30
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",62,179
"Restricted Area_Center(C)",-31,13
"In The Paint (Non-RA)_Center(C)",-37,42
"Above the Break 3_Center(C)",39,247
"Mid-Range_Left Side(L)",-204,-2
"Mid-Range_Left Side(L)",-162,-2
"Mid-Range_Right Side(R)",178,42
"Restricted Area_Center(C)",32,13
"Mid-Range_Right Side Center(RC)",113,194
"Mid-Range_Left Side(L)",-153,7
"Mid-Range_Right Side(R)",178,47
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-10,57
"Above the Break 3_Right Side Center(RC)",184,173
"Above the Break 3_Right Side Center(RC)",205,135
"In The Paint (Non-RA)_Center(C)",37,72
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",182,-4
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",1,40
"Mid-Range_Right Side(R)",87,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",108,68
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",102,21
"Mid-Range_Left Side(L)",-166,112
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),-16,144
"Mid-Range_Left Side Center(LC)",-101,152
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),51,192
"Mid-Range_Right Side(R)",182,-4
"In The Paint (Non-RA)_Center(C)",1,40
"Mid-Range_Right Side Center(RC)",81,175
"Mid-Range_Left Side Center(LC)",-122,165
"Mid-Range_Left Side(L)",-187,85
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-216,108
"Mid-Range_Left Side(L)",-157,51
"Mid-Range_Left Side Center(LC)",-94,209
"In The Paint (Non-RA)_Center(C)",-18,45
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),1,148
"In The Paint (Non-RA)_Center(C)",-23,34
"Mid-Range_Left Side(L)",-122,4
"In The Paint (Non-RA)_Center(C)",66,4
"Mid-Range_Left Side(L)",-105,51
"In The Paint (Non-RA)_Center(C)",45,57
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",146,-4
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",157,91
"Above the Break 3_Left Side Center(LC)",-183,173
"Mid-Range_Left Side(L)",-176,19
"Restricted Area_Center(C)",-4,36
Mid-Range_Center(C),1,152
"Restricted Area_Center(C)",16,9
"Mid-Range_Right Side(R)",108,9
"Above the Break 3_Left Side Center(LC)",-162,186
Mid-Range_Center(C),7,173
"Restricted Area_Center(C)",-4,15
"Mid-Range_Right Side(R)",184,0
"Above the Break 3_Right Side Center(RC)",199,135
"Above the Break 3_Right Side Center(RC)",210,141
"Mid-Range_Left Side(L)",-155,0
"Mid-Range_Right Side(R)",108,28
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),-12,190
"In The Paint (Non-RA)_Center(C)",-4,76
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side Center(LC)",-119,177
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",192,-29
"In The Paint (Non-RA)_Right Side(R)",73,57
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-155,15
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",144,34
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-128,21
"Mid-Range_Right Side Center(RC)",167,167
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),1,177
"Above the Break 3_Left Side Center(LC)",-214,141
"Restricted Area_Center(C)",0,0
"Left Corner 3_Left Side(L)",-235,0
"Mid-Range_Left Side(L)",-200,11
"Left Corner 3_Left Side(L)",-229,34
"Mid-Range_Left Side(L)",-113,57
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),-12,160
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",79,238
"Mid-Range_Right Side(R)",174,40
"Mid-Range_Right Side(R)",167,87
"Mid-Range_Right Side Center(RC)",129,177
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",85,21
"Above the Break 3_Center(C)",22,251
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-4,93
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-200,63
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-42,38
"In The Paint (Non-RA)_Center(C)",-12,51
"Mid-Range_Right Side(R)",201,15
"In The Paint (Non-RA)_Center(C)",-1,57
"Mid-Range_Left Side(L)",-166,-13
"Above the Break 3_Left Side Center(LC)",-101,241
"In The Paint (Non-RA)_Center(C)",-23,53
"In The Paint (Non-RA)_Center(C)",-1,63
"Mid-Range_Left Side(L)",-130,-17
"Mid-Range_Left Side Center(LC)",-130,135
"In The Paint (Non-RA)_Center(C)",11,76
"Mid-Range_Right Side(R)",125,30
"Restricted Area_Center(C)",-16,4
"Restricted Area_Center(C)",11,0
"Mid-Range_Right Side(R)",205,-6
"Restricted Area_Center(C)",3,4
"In The Paint (Non-RA)_Center(C)",11,63
"In The Paint (Non-RA)_Right Side(R)",68,53
"Mid-Range_Left Side(L)",-145,-13
"In The Paint (Non-RA)_Center(C)",3,114
"Mid-Range_Right Side(R)",167,-17
"In The Paint (Non-RA)_Right Side(R)",62,80
"Left Corner 3_Left Side(L)",-238,-27
"Restricted Area_Center(C)",3,30
"Above the Break 3_Center(C)",-37,251
"In The Paint (Non-RA)_Center(C)",-37,26
"Mid-Range_Right Side(R)",140,-23
"Mid-Range_Right Side Center(RC)",153,129
"Above the Break 3_Left Side Center(LC)",-172,207
"Mid-Range_Left Side(L)",-187,47
Mid-Range_Center(C),11,190
"Restricted Area_Center(C)",24,30
"In The Paint (Non-RA)_Center(C)",3,57
"Mid-Range_Right Side(R)",89,114
"Restricted Area_Center(C)",3,0
"Mid-Range_Right Side(R)",167,-27
"Mid-Range_Left Side(L)",-172,-17
"Restricted Area_Center(C)",-37,15
"Mid-Range_Left Side(L)",-145,-13
"Mid-Range_Left Side(L)",-187,-6
"Left Corner 3_Left Side(L)",-238,0
"Mid-Range_Left Side(L)",-187,15
"Mid-Range_Left Side(L)",-172,-6
"In The Paint (Non-RA)_Right Side(R)",77,125
"Mid-Range_Left Side(L)",-151,42
"In The Paint (Non-RA)_Center(C)",-79,0
"Above the Break 3_Center(C)",32,245
"In The Paint (Non-RA)_Center(C)",-16,53
"Mid-Range_Left Side(L)",-136,-17
Mid-Range_Center(C),11,148
"Mid-Range_Right Side(R)",146,101
"Above the Break 3_Left Side Center(LC)",-178,196
"Mid-Range_Left Side(L)",-157,-34
"Mid-Range_Right Side(R)",89,-6
"Mid-Range_Right Side(R)",104,36
"Mid-Range_Right Side(R)",176,4
"In The Paint (Non-RA)_Center(C)",39,87
"Mid-Range_Right Side(R)",83,87
"Above the Break 3_Left Side Center(LC)",-157,196
"In The Paint (Non-RA)_Center(C)",56,15
"Mid-Range_Left Side(L)",-157,-23
"In The Paint (Non-RA)_Center(C)",-50,-6
"In The Paint (Non-RA)_Center(C)",-71,4
"Restricted Area_Center(C)",3,4
"In The Paint (Non-RA)_Center(C)",56,9
"Mid-Range_Right Side(R)",119,97
"Above the Break 3_Center(C)",-29,245
"In The Paint (Non-RA)_Center(C)",77,15
Mid-Range_Center(C),-16,213
"Mid-Range_Left Side Center(LC)",-115,125
"Mid-Range_Left Side Center(LC)",-136,118
"Mid-Range_Right Side(R)",98,80
"Mid-Range_Left Side(L)",-94,47
"In The Paint (Non-RA)_Center(C)",-8,42
"Mid-Range_Right Side(R)",167,4
"In The Paint (Non-RA)_Left Side(L)",-65,70
"Mid-Range_Left Side(L)",-115,47
"Mid-Range_Left Side Center(LC)",-94,179
"Mid-Range_Left Side(L)",-136,63
Mid-Range_Center(C),-29,213
"Mid-Range_Left Side(L)",-115,9
"Above the Break 3_Center(C)",18,241
"In The Paint (Non-RA)_Center(C)",-8,87
"Mid-Range_Right Side(R)",98,76
"In The Paint (Non-RA)_Center(C)",-16,47
"Mid-Range_Left Side Center(LC)",-101,129
Mid-Range_Center(C),18,194
"Restricted Area_Center(C)",3,7
Mid-Range_Center(C),3,179
"In The Paint (Non-RA)_Center(C)",-52,7
"In The Paint (Non-RA)_Center(C)",70,13
"Restricted Area_Center(C)",-1,13
"Mid-Range_Left Side(L)",-176,7
"Restricted Area_Center(C)",-10,13
"Restricted Area_Center(C)",-10,19
"Mid-Range_Left Side(L)",-134,36
"Restricted Area_Center(C)",-25,19
"Mid-Range_Left Side(L)",-141,13
"Restricted Area_Center(C)",11,0
"Mid-Range_Left Side(L)",-82,36
"Mid-Range_Right Side(R)",144,19
"In The Paint (Non-RA)_Center(C)",-46,7
"In The Paint (Non-RA)_Center(C)",-46,13
"Mid-Range_Left Side(L)",-119,30
"Restricted Area_Center(C)",11,13
"Above the Break 3_Right Side Center(RC)",129,207
"Mid-Range_Right Side(R)",174,13
"In The Paint (Non-RA)_Center(C)",41,7
"Mid-Range_Left Side Center(LC)",-126,137
"Restricted Area_Center(C)",-10,13
"In The Paint (Non-RA)_Center(C)",-10,53
"Restricted Area_Center(C)",11,0
"Restricted Area_Center(C)",32,0
"Above the Break 3_Right Side Center(RC)",138,213
"Mid-Range_Left Side(L)",-162,110
"Restricted Area_Center(C)",3,7
"In The Paint (Non-RA)_Center(C)",-1,53
"Mid-Range_Left Side(L)",-147,42
"Restricted Area_Center(C)",11,13
"Restricted Area_Center(C)",-1,13
"Above the Break 3_Center(C)",11,241
"Restricted Area_Center(C)",3,19
"Mid-Range_Right Side(R)",159,13
"Mid-Range_Left Side Center(LC)",-162,137
"Left Corner 3_Left Side(L)",-229,-6
"Mid-Range_Left Side(L)",-166,-13
"Mid-Range_Left Side(L)",-157,36
"Above the Break 3_Right Side Center(RC)",191,177
"Mid-Range_Left Side(L)",-94,0
"In The Paint (Non-RA)_Center(C)",-29,55
"Mid-Range_Left Side(L)",-115,26
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-44,49
"Left Corner 3_Left Side(L)",-229,-6
"Above the Break 3_Right Side Center(RC)",104,257
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-86,-19
"In The Paint (Non-RA)_Center(C)",68,42
"Above the Break 3_Center(C)",56,257
"Above the Break 3_Left Side Center(LC)",-208,144
"Mid-Range_Left Side(L)",-109,42
"Mid-Range_Left Side Center(LC)",-124,106
"Mid-Range_Right Side(R)",146,76
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-124,-6
"Above the Break 3_Right Side Center(RC)",146,207
"Mid-Range_Left Side(L)",-115,15
"Mid-Range_Left Side(L)",-124,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-86,15
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-109,76
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-115,4
Mid-Range_Center(C),-23,150
"Above the Break 3_Right Side Center(RC)",104,241
Mid-Range_Center(C),1,228
"Mid-Range_Left Side Center(LC)",-92,148
"Mid-Range_Left Side(L)",-136,61
"Mid-Range_Right Side Center(RC)",136,114
"Right Corner 3_Right Side(R)",237,-11
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Right Side(R)",75,51
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",98,34
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-164,23
"Mid-Range_Right Side(R)",106,51
"Mid-Range_Left Side Center(LC)",-143,118
"In The Paint (Non-RA)_Center(C)",60,45
"Mid-Range_Right Side(R)",121,45
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",39,34
"Restricted Area_Center(C)",-4,34
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",98,228
"Mid-Range_Right Side Center(RC)",89,177
"Mid-Range_Left Side(L)",-122,11
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-69,4
"Above the Break 3_Right Side Center(RC)",172,192
"Above the Break 3_Center(C)",1,251
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",113,125
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",121,148
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-94,66
"Mid-Range_Left Side(L)",-151,93
"Mid-Range_Left Side(L)",-151,26
"Mid-Range_Right Side(R)",89,4
"Restricted Area_Center(C)",-16,0
"Restricted Area_Center(C)",-1,36
"Restricted Area_Center(C)",-37,4
"Restricted Area_Center(C)",-8,4
"Mid-Range_Right Side(R)",140,30
"Mid-Range_Right Side(R)",132,26
"Mid-Range_Right Side(R)",176,-13
"Restricted Area_Center(C)",3,4
"Restricted Area_Center(C)",-8,9
"In The Paint (Non-RA)_Center(C)",-65,19
"Restricted Area_Center(C)",3,9
"In The Paint (Non-RA)_Center(C)",18,59
"Mid-Range_Right Side(R)",119,19
"Mid-Range_Right Side(R)",146,82
"In The Paint (Non-RA)_Center(C)",-8,137
"Restricted Area_Center(C)",11,4
"Restricted Area_Center(C)",-1,-6
"In The Paint (Non-RA)_Left Side(L)",-79,36
"Restricted Area_Center(C)",3,36
"Mid-Range_Left Side(L)",-86,55
"Above the Break 3_Left Side Center(LC)",-202,144
"In The Paint (Non-RA)_Center(C)",47,19
"Restricted Area_Center(C)",11,4
"Restricted Area_Center(C)",3,30
"Restricted Area_Center(C)",-1,4
"Above the Break 3_Right Side Center(RC)",182,156
"Restricted Area_Center(C)",-8,19
"Restricted Area_Center(C)",11,30
"Above the Break 3_Right Side Center(RC)",161,184
"In The Paint (Non-RA)_Center(C)",-8,55
"In The Paint (Non-RA)_Center(C)",18,55
"Mid-Range_Left Side(L)",-145,19
"Restricted Area_Center(C)",-8,9
"In The Paint (Non-RA)_Left Side(L)",-71,49
"Above the Break 3_Center(C)",-8,251
"In The Paint (Non-RA)_Center(C)",-16,49
"In The Paint (Non-RA)_Center(C)",-8,55
"Mid-Range_Right Side(R)",153,49
"In The Paint (Non-RA)_Center(C)",47,49
"Mid-Range_Left Side Center(LC)",-130,150
"Mid-Range_Left Side(L)",-157,42
"Restricted Area_Center(C)",-1,9
"Restricted Area_Center(C)",-8,19
"Above the Break 3_Left Side Center(LC)",-208,120
"In The Paint (Non-RA)_Center(C)",-16,55
"Mid-Range_Right Side(R)",83,49
"Mid-Range_Left Side(L)",-136,55
"Restricted Area_Center(C)",3,0
"Restricted Area_Center(C)",-8,0
"Mid-Range_Right Side Center(RC)",132,116
"In The Paint (Non-RA)_Left Side(L)",-79,26
"Right Corner 3_Right Side(R)",226,42
"Restricted Area_Center(C)",-8,19
"Restricted Area_Center(C)",-8,4
"Restricted Area_Center(C)",-8,4
"Restricted Area_Center(C)",-1,19
"Restricted Area_Center(C)",-1,4
"In The Paint (Non-RA)_Center(C)",-65,9
"Restricted Area_Center(C)",-8,9
"Mid-Range_Left Side(L)",-178,36
"Mid-Range_Right Side(R)",144,4
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",37,97
"In The Paint (Non-RA)_Center(C)",1,85
"Mid-Range_Left Side Center(LC)",-119,148
"In The Paint (Non-RA)_Right Side(R)",58,72
Mid-Range_Center(C),22,198
"Mid-Range_Right Side(R)",153,4
"Mid-Range_Left Side(L)",-162,11
"Mid-Range_Right Side Center(RC)",94,165
"Mid-Range_Right Side(R)",159,28
"Restricted Area_Center(C)",0,0
"Above the Break 3_Center(C)",-42,243
"In The Paint (Non-RA)_Center(C)",30,61
"In The Paint (Non-RA)_Center(C)",43,78
"Restricted Area_Center(C)",0,0
"Above the Break 3_Center(C)",-42,243
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",94,175
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-84,4
"Above the Break 3_Center(C)",-48,238
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Right Side(R)",79,51
"Left Corner 3_Left Side(L)",-235,57
"Mid-Range_Left Side(L)",-98,40
"Above the Break 3_Center(C)",73,232
"Above the Break 3_Right Side Center(RC)",210,129
"Mid-Range_Left Side(L)",-141,4
"Mid-Range_Right Side Center(RC)",129,141
"Mid-Range_Right Side(R)",85,4
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side Center(LC)",-71,152
"Mid-Range_Right Side(R)",144,11
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",167,21
"Mid-Range_Left Side Center(LC)",-92,169
"Above the Break 3_Left Side Center(LC)",-149,205
"Mid-Range_Left Side Center(LC)",-63,192
"Mid-Range_Left Side Center(LC)",-77,175
"Mid-Range_Left Side(L)",-141,11
Mid-Range_Center(C),-71,141
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",142,-8
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",39,-2
"In The Paint (Non-RA)_Center(C)",70,13
"In The Paint (Non-RA)_Center(C)",70,-19
"Mid-Range_Right Side(R)",134,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-58,13
"In The Paint (Non-RA)_Center(C)",18,51
Mid-Range_Center(C),7,181
"Mid-Range_Left Side(L)",-191,0
"Above the Break 3_Left Side Center(LC)",-170,181
"In The Paint (Non-RA)_Center(C)",22,99
Mid-Range_Center(C),16,198
"Restricted Area_Center(C)",7,7
"In The Paint (Non-RA)_Right Side(R)",51,72
"In The Paint (Non-RA)_Center(C)",7,51
"Restricted Area_Center(C)",16,7
"In The Paint (Non-RA)_Center(C)",43,85
"Restricted Area_Center(C)",16,17
"Above the Break 3_Left Side Center(LC)",-200,150
"In The Paint (Non-RA)_Center(C)",7,127
"In The Paint (Non-RA)_Center(C)",-4,40
"Restricted Area_Center(C)",-12,28
"Mid-Range_Left Side(L)",-98,122
"Mid-Range_Right Side(R)",167,13
"In The Paint (Non-RA)_Center(C)",-4,106
"In The Paint (Non-RA)_Center(C)",51,47
Mid-Range_Center(C),22,165
"Mid-Range_Right Side Center(RC)",115,144
"Restricted Area_Center(C)",7,23
"Mid-Range_Left Side(L)",-200,13
"Mid-Range_Left Side(L)",-149,7
"Mid-Range_Left Side(L)",-98,40
"Mid-Range_Right Side(R)",167,93
"Restricted Area_Center(C)",22,7
"Restricted Area_Center(C)",-18,0
"Restricted Area_Center(C)",7,-2
"Restricted Area_Center(C)",1,-2
"Mid-Range_Right Side(R)",167,42
"Mid-Range_Left Side(L)",-115,15
"Mid-Range_Right Side(R)",132,15
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",32,49
Mid-Range_Center(C),-50,156
"In The Paint (Non-RA)_Center(C)",-16,49
"Mid-Range_Left Side(L)",-157,49
Mid-Range_Center(C),-50,171
"Restricted Area_Center(C)",0,0
"Above the Break 3_Center(C)",-1,251
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",153,188
"Mid-Range_Left Side(L)",-124,0
"Mid-Range_Left Side Center(LC)",-101,188
"Mid-Range_Right Side(R)",83,0
"Mid-Range_Right Side(R)",140,0
"Right Corner 3_Right Side(R)",226,-6
"Mid-Range_Right Side(R)",98,4
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-157,87
"In The Paint (Non-RA)_Center(C)",-23,49
"In The Paint (Non-RA)_Center(C)",-8,137
"In The Paint (Non-RA)_Center(C)",-50,15
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",132,211
"Above the Break 3_Right Side Center(RC)",191,160
"Mid-Range_Left Side(L)",-136,-6
"In The Paint (Non-RA)_Center(C)",-50,110
"Restricted Area_Center(C)",0,0
"Right Corner 3_Right Side(R)",233,30
"In The Paint (Non-RA)_Center(C)",7,137
"In The Paint (Non-RA)_Center(C)",1,93
"Mid-Range_Right Side Center(RC)",136,150
"Mid-Range_Right Side Center(RC)",70,150
"In The Paint (Non-RA)_Left Side(L)",-63,78
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),7,219
"Mid-Range_Right Side Center(RC)",123,163
"In The Paint (Non-RA)_Center(C)",22,72
"Mid-Range_Right Side Center(RC)",100,127
"In The Paint (Non-RA)_Center(C)",7,40
"In The Paint (Non-RA)_Center(C)",7,78
"Mid-Range_Left Side(L)",-84,23
"Right Corner 3_Right Side(R)",235,-23
Mid-Range_Center(C),1,144
"In The Paint (Non-RA)_Center(C)",-4,66
"In The Paint (Non-RA)_Center(C)",58,17
"Above the Break 3_Left Side Center(LC)",-117,219
"Mid-Range_Left Side(L)",-132,-2
"Above the Break 3_Right Side Center(RC)",214,150
"Mid-Range_Left Side Center(LC)",-117,116
"Mid-Range_Left Side(L)",-96,127
"Restricted Area_Center(C)",0,0
"Above the Break 3_Right Side Center(RC)",91,236
"Above the Break 3_Right Side Center(RC)",214,154
"In The Paint (Non-RA)_Center(C)",-4,51
"Above the Break 3_Right Side Center(RC)",228,106
"Mid-Range_Right Side(R)",178,72
"Mid-Range_Right Side(R)",157,85
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-117,28
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),-20,158
"In The Paint (Non-RA)_Center(C)",64,0
"Above the Break 3_Right Side Center(RC)",191,165
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Center(C)",-42,256
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-200,148
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side Center(LC)",-94,207
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",68,152
"Restricted Area_Center(C)",9,26
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-6,55
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-12,112
"Mid-Range_Left Side(L)",-130,-11
Mid-Range_Center(C),-65,215
Mid-Range_Center(C),1,198
"Mid-Range_Left Side(L)",-101,91
"In The Paint (Non-RA)_Center(C)",-58,0
"Mid-Range_Right Side Center(RC)",132,148
"Mid-Range_Left Side Center(LC)",-130,181
"In The Paint (Non-RA)_Left Side(L)",-79,28
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),22,205
"Above the Break 3_Left Side Center(LC)",-115,215
"Mid-Range_Left Side(L)",-172,78
"Mid-Range_Right Side(R)",212,0
"Above the Break 3_Left Side Center(LC)",-172,175
"Mid-Range_Left Side(L)",-107,108
"Above the Break 3_Left Side Center(LC)",-166,175
"Above the Break 3_Center(C)",30,243
"Mid-Range_Left Side Center(LC)",-136,169
"Mid-Range_Left Side Center(LC)",-94,152
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-79,0
Mid-Range_Center(C),-71,222
"In The Paint (Non-RA)_Center(C)",37,40
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-183,169
"Above the Break 3_Center(C)",49,245
"Mid-Range_Left Side(L)",-84,70
"Above the Break 3_Right Side Center(RC)",129,219
"Above the Break 3_Left Side Center(LC)",-84,230
"Restricted Area_Center(C)",-33,9
"In The Paint (Non-RA)_Center(C)",-42,-6
"Restricted Area_Center(C)",-33,9
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",1,57
"In The Paint (Non-RA)_Center(C)",-33,36
"Mid-Range_Left Side(L)",-90,30
"Mid-Range_Left Side(L)",-168,15
"Right Corner 3_Right Side(R)",235,36
"Above the Break 3_Left Side Center(LC)",-168,196
"Mid-Range_Right Side(R)",178,26
"Mid-Range_Right Side(R)",150,26
"Restricted Area_Center(C)",7,36
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",108,129
"Mid-Range_Left Side(L)",-168,0
"In The Paint (Non-RA)_Center(C)",28,76
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-75,0
"In The Paint (Non-RA)_Left Side(L)",-75,42
"Restricted Area_Center(C)",22,4
