primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
101107_RightBaseline11FT_2017-18,101107,RightBaseline11FT,18,8,2,0.8888888888888888,0.9938079899999066,0.8400662056322434,0.3782885892593185,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_RightBaseline18FT_2017-18,101107,RightBaseline18FT,24,7,2,0.5833333333333334,0.9090593428863095,0.749896512526144,0.14494036352479683,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_RightBaseline23FT_2017-18,101107,RightBaseline23FT,3,1,2,0.6666666666666666,0.9428090415820634,0.5238862050456253,0.3976756624447085,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_RightCorner_2017-18,101107,RightCorner,30,19,3,1.9,1.445683229480096,1.1113228255303993,0.17400325061141342,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_RightLong3_2017-18,101107,RightLong3,24,4,3,0.5,1.118033988749895,0.5525337233142409,0.12754742945556644,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101108_Left11FT_2017-18,101108,Left11FT,24,10,2,0.8333333333333334,0.9860132971832692,0.7991851324214293,0.17960362919859774,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_Left18FT_2017-18,101108,Left18FT,22,9,2,0.8181818181818182,0.9833321660356332,0.8806799975039478,0.10542373238267566,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_Left23FT_2017-18,101108,Left23FT,6,3,2,1,1,0.8727134300832162,0.07043948561073413,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_Left27FT_2017-18,101108,Left27FT,119,53,3,1.3361344537815125,1.4910224957265112,1.1202544713351106,0.11980154144046948,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_LeftBaseline18FT_2017-18,101108,LeftBaseline18FT,7,3,2,0.8571428571428571,0.9897433186107869,0.7065589094308192,0.2960020978023072,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_LeftBaseline23FT_2017-18,101108,LeftBaseline23FT,3,2,2,1.3333333333333333,0.9428090415820634,0.8488178488178488,0.09529978511040307,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_LeftCorner_2017-18,101108,LeftCorner,32,15,3,1.40625,1.4970674458754356,1.1304848878130427,0.03889845632410571,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_LeftLong3_2017-18,101108,LeftLong3,29,8,3,0.8275862068965517,1.3408429031188678,0.8995602927977348,0.08791600917644429,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_RestrictedArea_2017-18,101108,RestrictedArea,258,173,2,1.3410852713178294,0.9400323599164238,1.2397947496514066,0.09718331509755829,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_Right11FT_2017-18,101108,Right11FT,35,13,2,0.7428571428571429,0.9663734014450153,0.7994292457589843,0.16100095627236208,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_Right18FT_2017-18,101108,Right18FT,28,14,2,1,1,0.8805501193325255,0.07404030032407849,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_Right23FT_2017-18,101108,Right23FT,8,4,2,1,1,0.8589187191056779,0.09963683478790447,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_Right27FT_2017-18,101108,Right27FT,133,53,3,1.1954887218045114,1.4687657680691473,1.1050501442663374,0.10934929208661362,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_RightBaseline11FT_2017-18,101108,RightBaseline11FT,4,1,2,0.5,0.8660254037844386,0.8153478081909857,0.07341358856869053,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_RightBaseline18FT_2017-18,101108,RightBaseline18FT,3,3,2,2,0,0.8566843229137362,0.08169905297112223,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_RightCorner_2017-18,101108,RightCorner,38,20,3,1.5789473684210527,1.4979209969218639,1.1919504577143567,0.09877915735399709,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101108_RightLong3_2017-18,101108,RightLong3,29,11,3,1.1379310344827587,1.45564627029003,0.9090383883173088,0.13957011535900643,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
