,playerName,PPS-ePPSO,PPS-ePPSD
95,Ricky Rubio,0.2008120385071345,0.050530094568396966
96,Stephen Curry,0.5558648059577928,0.03010762830150814
97,DeMar DeRozan,0.4149071456600391,0.449294794238055
98,James Johnson,0.1250507704217501,0.28311229827171575
99,Jrue Holiday,0.8670516584629104,1.0757433852538623
100,Jeff Teague,0.09449858306613734,-0.5168211155028297
101,Darren Collison,0.6022085166324269,-0.08767417842366083
102,Omri Casspi,0.024430821796583582,0.46330961917155455
103,Taj Gibson,0.22081442935911844,-0.022008265944539734
104,DeMarre Carroll,-0.4262371244606229,0.21924279071584324
105,Wayne Ellington,0.08868324263976661,-0.06767272551896698
106,Dante Cunningham,-0.05897255962529502,0.49811253296616137
107,Jonas Jerebko,0.1385164491985744,-0.08913244250802359
