playerId,shots
203084,9217
203085,7156
203086,4308
203087,4014
203089,3881
203090,7970
203092,1890
203093,4618
203094,1190
203095,8065
203096,403
203098,46
203101,1668
203107,2479
203109,8300
203110,9056
203112,1929
203114,2942
203115,6175
203118,656
203120,4323
203124,4481
203138,2648
203141,3878
203145,7010
203148,1397
203186,3646
203200,5901
203210,6974
203382,4073
2034,541
203457,3594
203458,5700
203459,7917
203460,8574
203461,972
203462,752
203463,4008
203468,9977
203469,6095
203471,8882
203473,4569
203476,9220
203477,2115
203481,1509
203482,5430
203484,9092
203486,7751
203487,3018
203488,4401
203490,9284
203493,1673
203496,7520
203497,9159
203498,5289
203500,8630
203501,7662
203503,8003
203504,2437
203506,7939
203507,9639
203510,260
203512,3822
203516,5030
203518,3791
203521,6817
203524,8585
203526,1179
203527,376
203530,3493
203546,4122
203552,6696
203584,3996
203585,6923
203613,4742
2037,7410
203894,1710
203895,1345
203897,6036
203898,2026
203901,8814
203902,3355
203903,8585
203909,1800
203912,390
203914,6515
203915,4772
203917,7724
203918,5352
203922,5015
203923,770
203924,5432
203925,4230
203926,5352
203930,6424
203932,8341
203933,7505
203934,136
203935,8468
203937,3467
203939,4369
203940,451
203943,4512
203944,7750
203948,282
203949,1651
203950,26
203952,10632
203953,6027
203954,2694
203957,4126
203962,123
203967,7493
203991,5671
203994,5054
203998,138
203999,7485
204001,7858
204002,93
204014,1075
204020,7599
204025,5537
204028,3935
204038,5332
204060,6551
204067,241
204456,7557
2199,4598
2200,5586
2207,6147
2210,5654
2216,6038
2225,5462
2365,389
2399,2938
2403,4353
2440,6079
2449,1685
2544,10030
2546,9291
2548,6518
2555,450
2561,2959
2563,44
2564,4250
2571,3390
2585,4678
2592,1278
2594,6287
2617,440
2730,7806
2733,4759
2734,3613
2736,5347
2738,7217
2743,2364
2744,3231
2747,4338
2749,7410
2754,6381
2756,1459
2757,1923
2760,333
2772,10067
