primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
1626245_Total_2017-18,1626245,Total,531,256,2,1.1318267419962336,1.2187889763415636,1.028886851941281,0.3280138062649099,2017-18,2017-12-11T07:02:47.169,1626245,"Cristiano Felicio"
1626257_Total_2017-18,1626257,Total,448,178,2,0.9352678571428571,1.1906656750243232,0.9920196091150413,0.2761360817025234,2017-18,2017-12-11T07:02:47.169,1626257,"Salah Mejri"
1627098_Total_2017-18,1627098,Total,624,292,3,1.0737179487179487,1.186603220330348,1.0182200273719577,0.26768456607124236,2017-18,2017-12-11T07:02:47.169,1627098,"Malcolm Delaney"
1627732_Total_2017-18,1627732,Total,1650,727,2,0.9975757575757576,1.1615011976487866,0.9751829901773904,0.27413370110564644,2017-18,2017-12-11T07:02:47.169,1627732,"Ben Simmons"
1627733_Total_2017-18,1627733,Total,1037,515,2,1.1080038572806172,1.1543818527222562,1.0134878741658873,0.2763227825185485,2017-18,2017-12-11T07:02:47.169,1627733,"Dragan Bender"
1627734_Total_2017-18,1627734,Total,1138,538,3,1.0641476274165202,1.162657560877323,1.0113141007991169,0.2694991113865162,2017-18,2017-12-11T07:02:47.169,1627734,"Domantas Sabonis"
1627736_Total_2017-18,1627736,Total,420,179,2,0.969047619047619,1.1614826516626824,1.0062821963596291,0.3414121623779265,2017-18,2017-12-11T07:02:47.169,1627736,"Malik Beasley"
1627737_Total_2017-18,1627737,Total,1078,484,2,1.0139146567717996,1.1608931051659785,1.0013376293896545,0.289995583477199,2017-18,2017-12-11T07:02:47.169,1627737,"Marquese Chriss"
1627738_Total_2017-18,1627738,Total,253,103,2,0.924901185770751,1.1516839750461219,1.0233581540994534,0.2381795749377093,2017-18,2017-12-11T07:02:47.169,1627738,"Deyonta Davis"
1627739_Total_2017-18,1627739,Total,1040,474,3,1.0346153846153847,1.1696292337226812,1.0183799974860683,0.2796079915510361,2017-18,2017-12-11T07:02:47.169,1627739,"Kris Dunn"
1627740_Total_2017-18,1627740,Total,149,55,2,0.785234899328859,1.046334338941981,0.956792792118459,0.3100664504251711,2017-18,2017-12-11T07:02:47.169,1627740,"Henry Ellenson"
1627741_Total_2017-18,1627741,Total,995,464,3,1.07035175879397,1.186640618160255,1.0242128253285632,0.2658593442138072,2017-18,2017-12-11T07:02:47.169,1627741,"Buddy Hield"
1627742_Total_2017-18,1627742,Total,1586,718,3,1.008827238335435,1.1446119236018442,1.0101509207975046,0.26580500336845025,2017-18,2017-12-11T07:02:47.169,1627742,"Brandon Ingram"
1627743_Total_2017-18,1627743,Total,123,51,2,0.975609756097561,1.1993454490872435,0.9644210536735562,0.40376389289967796,2017-18,2017-12-11T07:02:47.169,1627743,"Demetrius Jackson"
1627746_Total_2017-18,1627746,Total,727,339,2,1.0701513067400275,1.1864794729333643,1.0162770120281286,0.2876774320474552,2017-18,2017-12-11T07:02:47.169,1627746,"Skal Labissiere"
1627747_Total_2017-18,1627747,Total,1231,573,2,1.0511779041429732,1.1653596844677419,0.9913722222718404,0.2635155389505955,2017-18,2017-12-11T07:02:47.169,1627747,"Caris LeVert"
1627748_Total_2017-18,1627748,Total,777,373,2,1.1081081081081081,1.1967990980013041,1.0156330014416943,0.2920193617223379,2017-18,2017-12-11T07:02:47.169,1627748,"Thon Maker"
1627749_Total_2017-18,1627749,Total,865,374,2,0.9653179190751445,1.140408373044046,1.0091014727691914,0.2851911848072848,2017-18,2017-12-11T07:02:47.169,1627749,"Dejounte Murray"
1627750_Total_2017-18,1627750,Total,1189,582,2,1.1101766190075695,1.175359173459677,0.9990411702881101,0.2645707760446773,2017-18,2017-12-11T07:02:47.169,1627750,"Jamal Murray"
1627751_Total_2017-18,1627751,Total,673,303,3,1.013372956909361,1.1569800080643753,1.0060088993165544,0.29326185272494854,2017-18,2017-12-11T07:02:47.169,1627751,"Jakob Poeltl"
1627752_Total_2017-18,1627752,Total,1447,683,2,1.0836212854181064,1.188194004663799,1.0239676468918657,0.25004308699213196,2017-18,2017-12-11T07:02:47.169,1627752,"Taurean Prince"
1627753_Total_2017-18,1627753,Total,103,42,2,0.9611650485436893,1.1980755612351335,1.034140899058891,0.37636136043922175,2017-18,2017-12-11T07:02:47.169,1627753,"Zhou Qi"
1627755_Total_2017-18,1627755,Total,1208,582,2,1.0811258278145695,1.1602015370977297,1.0079232168007468,0.2799539444187649,2017-18,2017-12-11T07:02:47.169,1627755,"Tyler Ulis"
1627756_Total_2017-18,1627756,Total,1255,586,2,1.0637450199203187,1.177105775492706,1.0214463767725488,0.27435074149632355,2017-18,2017-12-11T07:02:47.169,1627756,"Denzel Valentine"
1627758_Total_2017-18,1627758,Total,199,87,2,0.9748743718592965,1.1405596172489068,1.017542139195126,0.31255496755902645,2017-18,2017-12-11T07:02:47.169,1627758,"Ron Baker"
1627759_Total_2017-18,1627759,Total,1440,611,2,0.95,1.1409060726749793,0.9992942810553983,0.24585433160381243,2017-18,2017-12-11T07:02:47.169,1627759,"Jaylen Brown"
1627761_Total_2017-18,1627761,Total,370,177,3,1.1108108108108108,1.2041109277677084,1.0233958987547298,0.26411448871952725,2017-18,2017-12-11T07:02:47.169,1627761,"DeAndre Bembry"
1627763_Total_2017-18,1627763,Total,1215,575,2,1.0798353909465022,1.1805195086708304,1.0012653062255117,0.281664177630553,2017-18,2017-12-11T07:02:47.169,1627763,"Malcolm Brogdon"
1627767_Total_2017-18,1627767,Total,196,101,2,1.1683673469387754,1.176825281257692,1.0008312913235993,0.27433367359557803,2017-18,2017-12-11T07:02:47.169,1627767,"Cheick Diallo"
1627770_Total_2017-18,1627770,Total,239,116,2,1.1171548117154813,1.1939871414822558,1.0417007738948838,0.3146390706655863,2017-18,2017-12-11T07:02:47.169,1627770,"Kay Felder"
1627775_Total_2017-18,1627775,Total,568,267,2,1.051056338028169,1.153316838176046,0.9952176222814162,0.3031182757106773,2017-18,2017-12-11T07:02:47.169,1627775,"Patrick McCaw"
1627780_Total_2017-18,1627780,Total,122,58,3,1.0655737704918034,1.1575674389449002,1.0355362068556764,0.33773530442925787,2017-18,2017-12-11T07:02:47.169,1627780,"Gary Payton II"
1627781_Total_2017-18,1627781,Total,227,108,3,1.1233480176211454,1.224828056811068,0.9699187500099388,0.3489362648860585,2017-18,2017-12-11T07:02:47.169,1627781,"Malachi Richardson"
