primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
1627733_Total_2017-18,1627733,Total,1003,423,2,0.9391824526420738,1.132890025633836,0.968156563078807,0.29171422031348987,2017-18,2017-12-11T07:02:47.169,1627733,"Dragan Bender"
1627734_Total_2017-18,1627734,Total,1118,527,2,1.049194991055456,1.1475626638768412,0.9896283232326661,0.25454663867450444,2017-18,2017-12-11T07:02:47.169,1627734,"Domantas Sabonis"
1627736_Total_2017-18,1627736,Total,440,191,3,0.9863636363636363,1.1637695236309593,0.979954449408504,0.26604498946960875,2017-18,2017-12-11T07:02:47.169,1627736,"Malik Beasley"
1627737_Total_2017-18,1627737,Total,1062,504,2,1.0602636534839924,1.1531268904167051,0.9953333660029751,0.2827385633411031,2017-18,2017-12-11T07:02:47.169,1627737,"Marquese Chriss"
1627738_Total_2017-18,1627738,Total,253,113,2,0.9960474308300395,1.1438027681614844,0.9859867201287056,0.3091066016730954,2017-18,2017-12-11T07:02:47.169,1627738,"Deyonta Davis"
1627739_Total_2017-18,1627739,Total,1060,459,3,0.9830188679245283,1.1621768528842145,0.9416249619959415,0.2852333770271239,2017-18,2017-12-11T07:02:47.169,1627739,"Kris Dunn"
1627740_Total_2017-18,1627740,Total,155,66,2,0.9806451612903225,1.177591679833069,0.951134714185117,0.34071538315120475,2017-18,2017-12-11T07:02:47.169,1627740,"Henry Ellenson"
1627741_Total_2017-18,1627741,Total,984,446,3,1.0132113821138211,1.1488896424818833,0.9741563680221068,0.32532646772736473,2017-18,2017-12-11T07:02:47.169,1627741,"Buddy Hield"
1627742_Total_2017-18,1627742,Total,1567,688,2,0.9700063816209317,1.1290643945792807,0.9707975345649714,0.2869862478175974,2017-18,2017-12-11T07:02:47.169,1627742,"Brandon Ingram"
1627743_Total_2017-18,1627743,Total,118,45,3,0.9067796610169492,1.193110790425765,0.9172307663568537,0.3705000746042565,2017-18,2017-12-11T07:02:47.169,1627743,"Demetrius Jackson"
1627746_Total_2017-18,1627746,Total,738,334,2,0.9959349593495935,1.1279810277756155,0.9467807043931309,0.3068036769654329,2017-18,2017-12-11T07:02:47.169,1627746,"Skal Labissiere"
1627747_Total_2017-18,1627747,Total,1177,529,2,1.0186915887850467,1.1657782378243309,1.000953805125195,0.27042184098136346,2017-18,2017-12-11T07:02:47.169,1627747,"Caris LeVert"
1627748_Total_2017-18,1627748,Total,797,368,3,1.0301129234629862,1.1484959832906354,1.0019282895923296,0.2737059522313707,2017-18,2017-12-11T07:02:47.169,1627748,"Thon Maker"
1627749_Total_2017-18,1627749,Total,863,387,3,0.9837775202780996,1.1226999845255363,0.9860473104822367,0.29234552149422166,2017-18,2017-12-11T07:02:47.169,1627749,"Dejounte Murray"
1627750_Total_2017-18,1627750,Total,1249,592,3,1.0728582866293035,1.1702099939230175,1.0105800390320634,0.22733729789669715,2017-18,2017-12-11T07:02:47.169,1627750,"Jamal Murray"
1627751_Total_2017-18,1627751,Total,722,338,2,1.0734072022160666,1.1857355199972,1.0435513248544597,0.29722355665945627,2017-18,2017-12-11T07:02:47.169,1627751,"Jakob Poeltl"
1627752_Total_2017-18,1627752,Total,1430,660,2,1.044055944055944,1.166617390891464,0.9960445041000231,0.3125959347379265,2017-18,2017-12-11T07:02:47.169,1627752,"Taurean Prince"
1627755_Total_2017-18,1627755,Total,1144,532,2,1.0192307692307692,1.1256610035873629,0.9970211279699812,0.2832727006621957,2017-18,2017-12-11T07:02:47.169,1627755,"Tyler Ulis"
1627756_Total_2017-18,1627756,Total,1290,519,2,0.924031007751938,1.162913688585931,0.9404530476185919,0.2873442210912481,2017-18,2017-12-11T07:02:47.169,1627756,"Denzel Valentine"
1627758_Total_2017-18,1627758,Total,200,102,2,1.115,1.1277300208826562,1.0098286535215095,0.2897029126504563,2017-18,2017-12-11T07:02:47.169,1627758,"Ron Baker"
1627759_Total_2017-18,1627759,Total,1424,657,3,1.0617977528089888,1.1888296216062426,1.0176995383610452,0.2676007214263383,2017-18,2017-12-11T07:02:47.169,1627759,"Jaylen Brown"
1627761_Total_2017-18,1627761,Total,359,164,2,1.0362116991643453,1.1689211843095986,0.9791170968859892,0.35392614953920065,2017-18,2017-12-11T07:02:47.169,1627761,"DeAndre Bembry"
1627763_Total_2017-18,1627763,Total,1244,593,3,1.0610932475884245,1.148659540726069,1.0147770976229995,0.2684816088117716,2017-18,2017-12-11T07:02:47.169,1627763,"Malcolm Brogdon"
1627767_Total_2017-18,1627767,Total,204,93,2,0.9950980392156863,1.118023242504587,1.0410891916425196,0.3397538641137627,2017-18,2017-12-11T07:02:47.169,1627767,"Cheick Diallo"
1627770_Total_2017-18,1627770,Total,246,99,2,0.9024390243902439,1.1327686360715254,0.9042630070977501,0.3128511171340086,2017-18,2017-12-11T07:02:47.169,1627770,"Kay Felder"
1627774_Total_2017-18,1627774,Total,107,47,2,1.0093457943925233,1.1800152628729657,0.8779578909696317,0.3835793047036729,2017-18,2017-12-11T07:02:47.169,1627774,"Jake Layman"
1627775_Total_2017-18,1627775,Total,546,268,2,1.1117216117216118,1.1737240610911086,1.0885992925240724,0.292987784622977,2017-18,2017-12-11T07:02:47.169,1627775,"Patrick McCaw"
